ChildlessnessPercent,CCF,HFDCountry,DHSIndianDistrict,Title,Note,Source
.1764705926179886,2.558823585510254,0,1,,,
.1388888955116272,2.231481552124023,0,1,,,
0.071428575,2.785714387893677,0,1,,,
0.086956523,3.630434752,0,1,,,
0.064935066,3.467532396316528,0,1,,,
0.07692308,3.182692289352417,0,1,,,
0.098591551,2.436619758605957,0,1,,,
.1057692319154739,3.192307710647583,0,1,,,
0.090909094,3.233766317367554,0,1,,,
0.072164945,3.051546335220337,0,1,,,
0.089108914,2.811881303787231,0,1,,,
.1167883202433586,2.197080373764038,0,1,,,
0.081967212,2.696721315383911,0,1,,,
0.094488189,2.062992095947266,0,1,,,
.1404958665370941,1.966942191123962,0,1,,,
0.12328767,3.493150711,0,1,,,
0.072289154,3.060240983963013,0,1,,,
0.086956523,2.945652246,0,1,,,
.1030927821993828,2.628865957260132,0,1,,,
.1568627506494522,2.323529481887817,0,1,,,
.1730769276618958,2.394230842590332,0,1,,,
.1280000060796738,2.407999992370605,0,1,,,
.1584158390760422,2.188118696212769,0,1,,,
0.049586777,2.925619840621948,0,1,,,
.1481481492519379,2.555555582046509,0,1,,,
0.044247787,2.398230075836182,0,1,,,
0.031496063,2.543307065963745,0,1,,,
0.046296295,4.138888835906982,0,1,,,
.1338582634925842,2.842519760131836,0,1,,,
0.018867925,2.481132030487061,0,1,,,
0.033898305,2.745762825012207,0,1,,,
0.042857144,3.04285717,0,1,,,
0.027522936,2.825688123703003,0,1,,,
0.073684208,2.431578874588013,0,1,,,
0.016129032,2.5,0,1,,,
0.056451611,2.217741966247559,0,1,,,
.1020408198237419,2.224489688873291,0,1,,,
0.033898305,2.313559293746948,0,1,,,
0.049586777,2.380165338516235,0,1,,,
0.052083332,2.979166746139526,0,1,,,
.1009174287319183,3.009174346923828,0,1,,,
0.040816326,3.091836691,0,1,,,
0.059405942,2.316831588745117,0,1,,,
0.043478262,2.391304255,0,1,,,
0.060975611,2.195122003555298,0,1,,,
.1145833358168602,1.6875,0,1,,,
0.03809524,2.180952310562134,0,1,,,
0.079646021,2.141592979431152,0,1,,,
0.09589041,2.506849289,0,1,,,
0.06666667,2.433333396911621,0,1,,,
0.077669904,2.048543691635132,0,1,,,
0.056074765,2.420560836791992,0,1,,,
0.037383176,2.392523288726807,0,1,,,
0.01369863,3.095890522003174,0,1,,,
0.008264462,2.231405019760132,0,1,,,
0.021276595,2.829787254333496,0,1,,,
0.04040404,2.646464586257935,0,1,,,
0.034482758,2.356321811676025,0,1,,,
0.03508772,2.070175409317017,0,1,,,
0.057142857,1.990476131439209,0,1,,,
.1226415112614632,1.726415038108826,0,1,,,
0.008547009,2.401709318161011,0,1,,,
0.032258064,2.709677457809448,0,1,,,
0.046296295,1.907407402992249,0,1,,,
0.06666667,1.744444489479065,0,1,,,
0.07,2.329999923706055,0,1,,,
0.037383176,2.242990732192993,0,1,,,
0.029702971,2,0,1,,,
0.028301887,3.632075548171997,0,1,,,
0.0078125,3.7734375,0,1,,,
0,3.446153879165649,0,1,,,
0,3.405172348022461,0,1,,,
0,3.320754766464233,0,1,,,
0.030927835,3.453608274459839,0,1,,,
0.049382716,3.703703641891479,0,1,,,
0.048543688,3.475728273391724,0,1,,,
0.032258064,2.951612949371338,0,1,,,
0.027272727,2.718181848526001,0,1,,,
0.057692308,3.298076868057251,0,1,,,
0.018691588,2.523364543914795,0,1,,,
0.024390243,3.609755992889404,0,1,,,
0,3.773584842681885,0,1,,,
0.022727273,3.25,0,1,,,
0.0125,3.549999952316284,0,1,,,
0.009803922,2.941176414489746,0,1,,,
0.03846154,2.663461446762085,0,1,,,
0.104347825,2.713043451309204,0,1,,,
0.064814813,2.851851940155029,0,1,,,
0.017857144,3.196428537368774,0,1,,,
0.030534351,3.015267133712769,0,1,,,
.1134020611643791,3.288659811019897,0,1,,,
0.096153848,2.490384578704834,0,1,,,
0.115384616,2.173076868057251,0,1,,,
0.051546391,2.164948463439941,0,1,,,
.1568627506494522,1.970588207244873,0,1,,,
0.084905662,2.386792421340942,0,1,,,
0.092783503,2.350515365600586,0,1,,,
0.058139537,2.813953399658203,0,1,,,
0.090909094,2.5,0,1,,,
0.018867925,2.283018827438354,0,1,,,
0.02020202,2.656565666,0,1,,,
0.019607844,2.401960849761963,0,1,,,
0.033333335,2.008333444595337,0,1,,,
0.024390243,2,0,1,,,
0.030303031,2.434343338012695,0,1,,,
0.057692308,2.365384578704834,0,1,,,
0.045454547,2.327272653579712,0,1,,,
0.026086956,2.321739196777344,0,1,,,
0.063157894,2.021052598953247,0,1,,,
0.045454547,1.981818199157715,0,1,,,
0.088235296,2.382352828979492,0,1,,,
.1030927821993828,2.917525768280029,0,1,,,
0.104347825,2.852173805236816,0,1,,,
.1382978707551956,2.5,0,1,,,
0.045454547,2.534090995788574,0,1,,,
0.094736844,2.526315689086914,0,1,,,
0.065217391,2.771739244,0,1,,,
0.068627454,2.627450942993164,0,1,,,
0.082352944,3,0,1,,,
0.022988506,3.620689630508423,0,1,,,
.1145833358168602,3.114583253860474,0,1,,,
0.06666667,3.180952310562134,0,1,,,
0.023809524,2.952380895614624,0,1,,,
0.054347824,3.010869503,0,1,,,
0.04587156,2.486238479614258,0,1,,,
0.028571429,2.809523820877075,0,1,,,
0.036144577,2.927710771560669,0,1,,,
0.027272727,3.145454645,0,1,,,
0.068376072,2.641025543212891,0,1,,,
0.034782607,2.417391300201416,0,1,,,
0.03539823,2.495575189590454,0,1,,,
0.07079646,2.486725568771362,0,1,,,
0.042016808,3.008403301239014,0,1,,,
0.08139535,3.220930337905884,0,1,,,
0.018691588,3.308411121368408,0,1,,,
0.017241379,3.689655065536499,0,1,,,
0.02020202,3.292929410934448,0,1,,,
0.03125,3,0,1,,,
0.010204081,2.989795923233032,0,1,,,
0,3.471698045730591,0,1,,,
0.014705882,2.735294103622437,0,1,,,
0.022988506,3.229885101318359,0,1,,,
0.041666668,3.458333253860474,0,1,,,
0.028846154,3.182692289352417,0,1,,,
0.039999999,3.400000095367432,0,1,,,
0,3.305084705352783,0,1,,,
0,3.645161390304565,0,1,,,
0.043859649,3.175438642501831,0,1,,,
0.027777778,2.583333253860474,0,1,,,
0.04587156,2.495412826538086,0,1,,,
0,2.905982971191406,0,1,,,
0.045454547,2.790909051895142,0,1,,,
0.01,2.700000047683716,0,1,,,
0.025641026,2.794871807098389,0,1,,,
0.024793388,2.42148757,0,1,,,
0.015503876,2.844961166381836,0,1,,,
0.032000002,3.296000003814697,0,1,,,
0.011764706,2.835294008255005,0,1,,,
0.043956045,3.483516454696655,0,1,,,
0.029411765,2.529411792755127,0,1,,,
0.020408163,3.275510311126709,0,1,,,
0,3.686274528503418,0,1,,,
0.01980198,2.722772359848022,0,1,,,
0,3.172727346420288,0,1,,,
0.033333335,2.911111116409302,0,1,,,
0.028985508,3.014492750167847,0,1,,,
0.086956523,2.521739244,0,1,,,
0.02631579,2.798245668411255,0,1,,,
0.032608695,3.434782505,0,1,,,
0.046511628,2.759689807891846,0,1,,,
0.070707068,2.494949579238892,0,1,,,
0.043010753,2.677419424057007,0,1,,,
0.052083332,2.447916746139526,0,1,,,
0.022222223,3.633333444595337,0,1,,,
0,3.268817186355591,0,1,,,
0.048780486,3.060975551605225,0,1,,,
0.04040404,2.757575750350952,0,1,,,
0.016806724,3.621848821640015,0,1,,,
0.028169014,3.521126747131348,0,1,,,
0.018181818,3.872727155685425,0,1,,,
0.009615385,3.855769157409668,0,1,,,
0.03508772,3.070175409317017,0,1,,,
0.027522936,2.981651306152344,0,1,,,
.1000000014901161,2.809090852737427,0,1,,,
0.028571429,3.295238018035889,0,1,,,
0.029999999,2.799999952316284,0,1,,,
0.01010101,2.747474670410156,0,1,,,
0.039999999,2.400000095367432,0,1,,,
.1018518507480621,2.222222328186035,0,1,,,
0.020618556,2.639175176620483,0,1,,,
0.037037037,2.493827104568481,0,1,,,
0.007751938,3.620155096054077,0,1,,,
0.034482758,2.646551609039307,0,1,,,
0.071428575,2.581632614135742,0,1,,,
0.054054055,2.972972869873047,0,1,,,
0.095238097,2,0,1,,,
0.08421053,2.136842012405396,0,1,,,
0.05952381,2.369047642,0,1,,,
0.089108914,2.168316841125488,0,1,,,
0.077777781,2.666666746139526,0,1,,,
0.023529412,2.376470565795898,0,1,,,
0.040816326,2.448979616165161,0,1,,,
0.035714287,2.651785612106323,0,1,,,
0,2.712643623352051,0,1,,,
0.065217391,2.326086998,0,1,,,
0.025210084,2.453781604766846,0,1,,,
0.018018018,2.441441535949707,0,1,,,
0,2.660194158554077,0,1,,,
0.064814813,2.148148059844971,0,1,,,
0.027777778,2.037037134170532,0,1,,,
0.065040648,2.016260147094727,0,1,,,
0.036036037,2.198198080062866,0,1,,,
0.041666668,2.145833253860474,0,1,,,
0.032967035,2.230769157409668,0,1,,,
0.06122449,2.102040767669678,0,1,,,
0.0625,2.25,0,1,,,
0.05319149,2.585106372833252,0,1,,,
0.038961038,2.597402572631836,0,1,,,
0.035714287,2.964285612106323,0,1,,,
0.02247191,2.741573095321655,0,1,,,
0.046511628,2.523255825042725,0,1,,,
0.041666668,2.599999904632568,0,1,,,
0.05882353,1.941176414489746,0,1,,,
0.064935066,1.818181872367859,0,1,,,
0.053571429,2.366071462631226,0,1,,,
0.028571429,2.066666603088379,0,1,,,
0.03846154,2.284615278244019,0,1,,,
0.024390243,2.609755992889404,0,1,,,
0,2.898876428604126,0,1,,,
0.011764706,2.588235378265381,0,1,,,
0.01,2.819999933242798,0,1,,,
0.008695652,2.400000095367432,0,1,,,
0.081081077,2.144144058227539,0,1,,,
.1648351699113846,1.747252702713013,0,1,,,
0.008695652,2.130434752,0,1,,,
0.080357142,1.919642806053162,0,1,,,
0.04040404,2.060606002807617,0,1,,,
0.023529412,2.176470518112183,0,1,,,
0.055045873,1.963302731513977,0,1,,,
0.011363637,2.125,0,1,,,
0.043010753,2.161290407180786,0,1,,,
0.047619049,2.047619104385376,0,1,,,
0.052083332,2.0625,0,1,,,
0.040540539,2.229729652404785,0,1,,,
0.026785715,2.089285612106323,0,1,,,
